,num_of_buzzwords,price_difference,condition_val,detailsYN,num_images
111,0.0,46.61,1.0,1.0,2.0
112,2.0,23.299999999999997,1.0,1.0,9.0
113,2.0,12.600000000000001,1.0,1.0,7.0
114,0.0,53.06,1.0,1.0,5.0
115,2.0,7.609999999999999,1.0,1.0,8.0
116,1.0,25.599999999999994,1.0,1.0,2.0
117,0.0,16.450000000000003,2.0,1.0,5.0
118,1.0,36.44,4.0,1.0,2.0
119,0.0,23.209999999999994,5.0,1.0,2.0
120,0.0,26.450000000000003,3.0,1.0,5.0
121,0.0,46.45,5.0,1.0,8.0
122,3.0,64.44,5.0,1.0,2.0
123,0.0,32.95,4.0,1.0,1.0
124,0.0,32.7,4.0,1.0,4.0
125,3.0,46.400000000000006,5.0,1.0,2.0
126,0.0,21.450000000000003,4.0,1.0,2.0
127,2.0,28.450000000000003,3.0,1.0,3.0
128,0.0,29.450000000000003,4.0,1.0,11.0
129,0.0,7.450000000000003,5.0,1.0,3.0
130,0.0,37.44,5.0,1.0,1.0
131,1.0,-7.549999999999997,3.0,1.0,2.0
132,0.0,2.030000000000001,4.0,1.0,6.0
133,1.0,13.450000000000001,4.0,1.0,2.0
134,1.0,12.540000000000001,3.0,1.0,4.0
135,2.0,15.540000000000001,3.0,1.0,2.0
136,1.0,11.62,4.0,1.0,1.0
137,0.0,34.35,6.0,1.0,2.0
138,2.0,8.049999999999999,4.0,1.0,6.0
139,1.0,13.540000000000001,3.0,1.0,3.0
140,0.0,28.090000000000003,5.0,1.0,4.0
141,2.0,8.09,3.0,1.0,1.0
142,0.0,16.14,5.0,1.0,3.0
143,0.0,12.56,4.0,1.0,3.0
144,1.0,6.49,3.0,1.0,1.0
145,0.0,21.96,5.0,1.0,3.0
146,4.0,17.960000000000008,4.0,1.0,5.0
147,1.0,14.0,4.0,1.0,3.0
148,0.0,11.55,4.0,1.0,1.0
149,2.0,9.5,4.0,1.0,5.0
150,1.0,4.9,3.0,1.0,0.0
151,2.0,27.000000000000004,3.0,1.0,1.0
152,0.0,5.990000000000002,2.0,1.0,1.0
153,1.0,14.25,2.0,1.0,1.0
154,1.0,5.990000000000002,2.0,1.0,2.0
155,0.0,17.0,4.0,1.0,2.0
156,1.0,5.990000000000002,2.0,1.0,1.0
157,1.0,6.0,2.0,1.0,3.0
158,1.0,2.880000000000001,4.0,1.0,8.0
159,1.0,4.5,3.0,1.0,2.0
160,1.0,2.530000000000001,2.0,1.0,2.0
161,0.0,1.870000000000001,3.0,1.0,3.0
162,1.0,17.95,3.0,1.0,1.0
163,0.0,2.51,5.0,1.0,1.0
164,2.0,8.5,4.0,1.0,3.0
165,0.0,0.4900000000000002,2.0,1.0,1.0
166,1.0,27.049999999999997,1.0,1.0,7.0
167,1.0,76.61,1.0,1.0,12.0
168,1.0,26.049999999999997,1.0,1.0,8.0
169,2.0,51.599999999999994,1.0,1.0,10.0
170,1.0,23.049999999999997,1.0,1.0,11.0
171,1.0,23.560000000000002,1.0,1.0,11.0
172,1.0,22.049999999999997,1.0,1.0,11.0
173,1.0,26.049999999999997,1.0,1.0,9.0
174,0.0,-2.1400000000000006,1.0,1.0,7.0
175,0.0,-6.939999999999998,1.0,1.0,6.0
176,0.0,8.049999999999997,1.0,1.0,2.0
177,0.0,-12.950000000000003,1.0,1.0,3.0
178,0.0,-6.950000000000003,1.0,1.0,3.0
179,0.0,65.61,1.0,1.0,11.0
180,0.0,3.0600000000000023,1.0,1.0,12.0
181,1.0,-8.39,1.0,1.0,8.0
182,1.0,-13.39,1.0,1.0,9.0
183,0.0,68.61,1.0,1.0,12.0
184,0.0,71.61,1.0,1.0,12.0
185,0.0,-1.9399999999999977,1.0,1.0,1.0
186,1.0,6.5,5.0,1.0,3.0
187,6.0,26.489999999999995,4.0,1.0,1.0
188,1.0,-33.510000000000005,2.0,1.0,6.0
189,1.0,15.049999999999997,4.0,1.0,1.0
190,1.0,6.549999999999997,3.0,1.0,2.0
191,4.0,27.379999999999995,5.0,1.0,8.0
192,2.0,40.02999999999999,3.0,1.0,3.0
193,1.0,-28.5,3.0,1.0,1.0
194,1.0,16.450000000000003,4.0,1.0,6.0
195,1.0,65.05,4.0,1.0,1.0
196,2.0,41.040000000000006,3.0,1.0,1.0
197,2.0,49.040000000000006,3.0,1.0,1.0
198,0.0,-10.55,3.0,1.0,1.0
199,2.0,-2.5500000000000007,2.0,1.0,2.0
200,0.0,6.450000000000003,4.0,1.0,3.0
201,0.0,15.450000000000003,4.0,1.0,1.0
202,2.0,20.439999999999998,3.0,1.0,1.0
203,0.0,24.450000000000003,3.0,1.0,2.0
204,2.0,0.4499999999999993,3.0,1.0,1.0
205,1.0,16.4,3.0,1.0,5.0
206,1.0,14.130000000000003,4.0,1.0,1.0
207,0.0,47.44,5.0,1.0,4.0
208,0.0,22.4,3.0,1.0,3.0
209,2.0,7.450000000000003,4.0,1.0,5.0
210,2.0,20.439999999999998,2.0,1.0,3.0
211,0.0,24.950000000000003,3.0,1.0,1.0
212,0.0,14.450000000000003,3.0,1.0,3.0
213,0.0,23.450000000000003,4.0,1.0,2.0
214,0.0,-0.05000000000000071,2.0,1.0,1.0
215,0.0,0.4400000000000013,2.0,1.0,1.0
216,0.0,22.450000000000003,4.0,1.0,1.0
217,0.0,14.189999999999998,3.0,1.0,1.0
218,0.0,11.0,3.0,1.0,3.0
219,2.0,22.439999999999998,5.0,1.0,5.0
220,0.0,-5.379999999999999,0.0,1.0,2.0
221,1.0,17.460000000000008,4.0,1.0,3.0
222,2.0,63.959999999999994,4.0,1.0,4.0
223,2.0,68.45,4.0,1.0,3.0
224,0.0,8.120000000000005,3.0,1.0,6.0
225,1.0,19.460000000000008,4.0,1.0,3.0
226,0.0,38.46000000000001,4.0,1.0,1.0
227,0.0,39.86,5.0,1.0,2.0
228,3.0,38.41000000000001,4.0,1.0,2.0
229,2.0,-21.549999999999997,3.0,1.0,1.0
230,0.0,-36.53999999999999,3.0,1.0,2.0
231,0.0,15.560000000000002,4.0,1.0,1.0
232,1.0,9.460000000000008,2.0,1.0,1.0
233,1.0,39.45,5.0,1.0,1.0
234,2.0,63.000000000000014,4.0,1.0,1.0
235,2.0,71.00000000000001,4.0,1.0,1.0
236,1.0,103.99000000000001,4.0,1.0,1.0
237,0.0,131.44,5.0,1.0,8.0
238,2.0,30.5,4.0,1.0,3.0
239,2.0,34.94999999999999,4.0,1.0,4.0
240,1.0,-102.07,3.0,1.0,2.0
241,0.0,54.99000000000001,5.0,1.0,2.0
242,2.0,820.0,6.0,1.0,11.0
243,1.0,61.150000000000006,5.0,1.0,2.0
244,3.0,-12.46,2.0,1.0,5.0
245,2.0,24.490000000000002,3.0,1.0,1.0
246,1.0,-6.52,0.0,1.0,1.0
247,0.0,18.490000000000002,4.0,1.0,5.0
248,1.0,39.45,5.0,1.0,1.0
249,1.0,-6.52,0.0,1.0,1.0
250,0.0,11.939999999999998,3.0,1.0,1.0
251,5.0,26.9,4.0,1.0,3.0
252,0.0,6.949999999999999,5.0,1.0,2.0
253,1.0,20.5,3.0,1.0,1.0
254,2.0,23.759999999999998,2.0,1.0,2.0
255,2.0,24.439999999999998,4.0,1.0,1.0
256,0.0,27.15,3.0,1.0,1.0
257,1.0,-2.0100000000000016,3.0,1.0,1.0
258,0.0,-3.5,3.0,1.0,1.0
